produtoCSV,url,status,tituloExtraido,match
CNSTORE Jaqueta masculina Camisa masculina casual de cor lisa sem mangas compridas jaqueta jeans,https://www.amazon.com.br/dp/B0BVQ5XBTQ?pf_rd_p=b0d855ab-21fd-49b1-ae3e-5a01e562f959&pf_rd_r=3PBZK9F1MGRZREGDMYAZ&pd_rd_wg=PZj3R&pd_rd_w=Ii8Qx&content-id=amzn1.sym.b0d855ab-21fd-49b1-ae3e-5a01e562f959&pd_rd_r=7029eac2-cba5-44ba-b4c2-232d9b200c81&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWwy&th=1&linkCode=sl1&tag=kayosaffili06-20&linkId=3207afa8ef37ec619b9862d5e32e0712&language=pt_BR&ref_=as_li_ss_tl&psc=1,OK,CNSTORE Jaqueta masculina Camisa masculina casual de cor lisa sem mangas compridas jaqueta jeans | Amazon.com.br,SIM
Jaqueta Puffer Bobojaco Masculina Casaco Corta Vento Acolchoada Impermeável Bolsos Capuz Removível,https://www.amazon.com.br/Bobojaco-Masculina-Acolchoada-Imperme%C3%A1vel-Remov%C3%ADvel/dp/B0D87QBSLW?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=3O9S2TMRMW64G&dib=eyJ2IjoiMSJ9.yaGkeW9phZrzwZPPDXB0nptmOpCPEja0epD6eHscMquQZb4163wqE98s3zWNYJIqZh2bfYLk29Mihz1TOzWWgmOHc8X8L3mlnILCXoYH_v2xCueOgj_IT-UmQ3SrE13xwrko2KCOVQRsePWtRe4QY6V3RU0-HCLxLZUyodTLlQA55Os-3t56mET4SBlEXwlu1-u17lx9__lcYo1AzmxcTUhyTtsPwCHzWTBNmIajKP9V9ujEGmLg9CPcM6UzETpNxNnIA6TsOltbiaRdf3YO19JYKBFnztUh4zsyAniiM4E.UNTEIYruFpEHqTqEMuaM2jr3jOZxzhmRC0qbDn0Niso&dib_tag=se&keywords=JAQUETA&qid=1752529535&sprefix=jaqueta%2Caps%2C236&sr=8-5&ufe=app_do%3Aamzn1.fos.db68964d-7c0e-4bb2-a95c-e5cb9e32eb12&th=1&linkCode=sl1&tag=kayosaffili06-20&linkId=74ece7cf79d017ea16cf63ebf730517e&language=pt_BR&ref_=as_li_ss_tl&psc=1,OK,Amazon.com.br,NÃO
Mouse Gamer Redragon Aatrox RGB 15 Botões Programáveis para MMO PAW3327 12400 DPI M811-RGB,https://www.amazon.com.br/Redragon-M811-program%C3%A1veis-constru%C3%A7%C3%A3o-retroiluminado/dp/B0B3J9WSJQ?pd_rd_w=UHujK&content-id=amzn1.sym.0c225ccc-ba61-4ed7-8ec2-00a23aa4a681&pf_rd_p=0c225ccc-ba61-4ed7-8ec2-00a23aa4a681&pf_rd_r=JT1AXXYA2HBZQHJ06D2M&pd_rd_wg=QYnyd&pd_rd_r=9090f956-a1ba-4846-a424-2bb33cef55ad&pd_rd_i=B0B3J9WSJQ&th=1&linkCode=sl1&tag=kayosaffili06-20&linkId=b3a1ad49b3ec6307364cd7f6415197e7&language=pt_BR&ref_=as_li_ss_tl,OK,Amazon.com.br,NÃO
"Notebook Lenovo IdeaPad 1i i5-1235U 8GB 256GB 15.6"" W11",https://www.amazon.com.br/dp/B0DCLZRN7W?psc=1&pd_rd_i=B0DCLZRN7W&pd_rd_w=CDhJ8&content-id=amzn1.sym.1868afab-d777-4b70-8899-1b323ad91d95&pf_rd_p=1868afab-d777-4b70-8899-1b323ad91d95&pf_rd_r=3EEFJN1B9TSRZB0YCMDQ&pd_rd_wg=M9tBM&pd_rd_r=43aa77f6-132d-4215-a65b-86da4ca8824c&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw&linkCode=sl1&tag=kayosaffili06-20&linkId=ff5ec6b09443057164cff5bc67761493&language=pt_BR&ref_=as_li_ss_tl,OK,"Notebook Lenovo IdeaPad 1i i5-1235U 8GB 256GB 15.6"" W11 : Amazon.com.br: Computadores e Informática",SIM
"Notebook ASUS Vivobook 15, Intel Core i5 1235U, 8 GB, 256 GB SSD, W11 Home, Tela 15,6"" FHD, Cool Silver - X1504ZA-NJ985W",https://www.amazon.com.br/dp/B0CYVSD1VL?psc=1&pd_rd_i=B0CYVSD1VL&pd_rd_w=AFsGt&content-id=amzn1.sym.1868afab-d777-4b70-8899-1b323ad91d95&pf_rd_p=1868afab-d777-4b70-8899-1b323ad91d95&pf_rd_r=3684H163HG2G0Y12NV5A&pd_rd_wg=RKA3B&pd_rd_r=56f36ea2-75de-46aa-ba99-dbf0bf51434f&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw&linkCode=sl1&tag=kayosaffili06-20&linkId=6affd4149b5ff57a847a00abd7eea5db&language=pt_BR&ref_=as_li_ss_tl,OK,Amazon.com.br,NÃO
Notebook Acer A515-45-R74D R7 8GB 512 SSD Linux NX.AYDAL.00M,https://www.amazon.com.br/dp/B0B8YVMRHK?psc=1&pd_rd_i=B0B8YVMRHK&pd_rd_w=aMdMX&content-id=amzn1.sym.1868afab-d777-4b70-8899-1b323ad91d95&pf_rd_p=1868afab-d777-4b70-8899-1b323ad91d95&pf_rd_r=QAZXZN1JAZ9EYSDBTVA8&pd_rd_wg=tdF5G&pd_rd_r=e097c11a-e482-47f4-b0b0-ade38cc9d750&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw&linkCode=sl1&tag=kayosaffili06-20&linkId=c3571070199367329a8bcb3630331cfe&language=pt_BR&ref_=as_li_ss_tl,OK,Notebook Acer A515-45-R74D R7 8GB 512 SSD Linux NX.AYDAL.00M : Amazon.com.br: Computadores e Informática,SIM
"Notebook Dell Inspiron I15-I120K-U25P 15.6"" Full HD 12ª Geração Intel Core i5 8GB 512GB SSD Linux Preto",https://www.amazon.com.br/Notebook-Dell-Inspiron-I15-I120K-U25P-Gera%C3%A7%C3%A3o/dp/B0CKWGF827?crid=KYVADBQIWUP5&dib=eyJ2IjoiMSJ9.tipHOaWCbU0VEfbAtTkjUowIyv4q7Zgaj_SqtsE3vGkD-UwiAR6aAqE5mNHyZUAeGRe-5ZCYjXpRJ24MtxO9YitpnDhI3eT-Io1K0ckdS2zpxcAb9pyegOUxtMpD_sapKdBPxNKO0Xa4XsgrpDmnHBHupcLhXurZy9ADPEj0K0Or11fEqtO0hyZui2EsDV-qbTqGZk5HN6108quUnr-01iEDKwaZFRnDUcjWU__enfJZJ6nHAPRu_XUiM-d_xoBQB2WcfNjBf1mKTr9avekwPUSDKddchl1827rah2TuHXY._GWp5Ox4J4olzXEnRd_8zgb_YUoA5AOhZIAwcTHFwX4&dib_tag=se&keywords=notebook&qid=1752528692&sprefix=NOT,OK,Amazon.com.br,NÃO
Mouse Gamer Sem Fio Logitech G305 LIGHTSPEED com 6 Botões Programáveis e Até 12.000 DPI - Preto,https://www.amazon.com.br/Logitech-LIGHTSPEED-Bot%C3%B5es-Program%C3%A1veis-12-000/dp/B07GPRWFC5?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2HY648Q0TV5XP&dib=eyJ2IjoiMSJ9.HRfhwGLRo7J9jbADpab-U_kxs-HJakBiA2YuN2iU87RZYNKKnwgQzxVVXXdKrtJ6UyYX5PioDKBfI0iVev6n0aIaqvxCMAZjXqOPUyvGNbdiY_kbPdSvnrGRH-tMy0IACt_svvGEhAK-6Kp01ghyF-97fCzwsDN8WTKUBDplfsowghPulc_2in19d0ANMfMEwK4liTbGhgtlVX670BEMcwPPhpdyf7yBBOM7Now077fKZH_9JRNGlhC6xpj_GbMhlwyVnR5ODka-I7qAdU2j7uvqLhkd2A3qpOfUjfB3bGY.IRvp7Cx_bhfx840EDUxb6-hkKR9nSnEFBIZu-DuYJiQ&dib_tag=se&keywords=MOUSE&qid=1752353067&sprefix=mouse%2Caps%2C235&sr=8-17&ufe=app_do%3Aamzn1.fos.fcd6d665-32ba-4479-9f21-b774e276a678&th=1&linkCode=ll1&tag=kayosaffili06-20&linkId=fc911997d07c4628b64d4cc8a2650120&language=pt_BR&ref_=as_li_ss_tl,OK,Mouse Gamer Sem Fio Logitech G305 LIGHTSPEED com 6 Botões Programáveis e Até 12.000 DPI - Preto | Amazon.com.br,SIM
Mouse sem fio Logitech M280 com Conexão USB e Pilha Inclusa - Preto,https://www.amazon.com.br/Mouse-Nanoreceptor-Inclusa-Logitech-Mouses/dp/B00UC1R80C?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2HY648Q0TV5XP&dib=eyJ2IjoiMSJ9.HRfhwGLRo7J9jbADpab-U_kxs-HJakBiA2YuN2iU87RZYNKKnwgQzxVVXXdKrtJ6UyYX5PioDKBfI0iVev6n0aIaqvxCMAZjXqOPUyvGNbdiY_kbPdSvnrGRH-tMy0IACt_svvGEhAK-6Kp01ghyF-97fCzwsDN8WTKUBDplfsowghPulc_2in19d0ANMfMEwK4liTbGhgtlVX670BEMcwPPhpdyf7yBBOM7Now077fKZH_9JRNGlhC6xpj_GbMhlwyVnR5ODka-I7qAdU2j7uvqLhkd2A3qpOfUjfB3bGY.IRvp7Cx_bhfx840EDUxb6-hkKR9nSnEFBIZu-DuYJiQ&dib_tag=se&keywords=MOUSE&qid=1752353067&sprefix=mouse%2Caps%2C235&sr=8-15&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9&th=1&linkCode=ll1&tag=kayosaffili06-20&linkId=31379bd77e17dc3b72d88a21a0ff56b4&language=pt_BR&ref_=as_li_ss_tl,OK,Amazon.com.br,NÃO
Mouse Gamer Crusader 12800 DPI Branco Fortrek,https://www.amazon.com.br/Mouse-Gamer-Crusader-Branco-Fortrek/dp/B0DQ2BN88N?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=2HY648Q0TV5XP&dib=eyJ2IjoiMSJ9.HRfhwGLRo7J9jbADpab-U_kxs-HJakBiA2YuN2iU87RZYNKKnwgQzxVVXXdKrtJ6UyYX5PioDKBfI0iVev6n0aIaqvxCMAZjXqOPUyvGNbdiY_kbPdSvnrGRH-tMy0IACt_svvGEhAK-6Kp01ghyF-97fCzwsDN8WTKUBDplfsowghPulc_2in19d0ANMfMEwK4liTbGhgtlVX670BEMcwPPhpdyf7yBBOM7Now077fKZH_9JRNGlhC6xpj_GbMhlwyVnR5ODka-I7qAdU2j7uvqLhkd2A3qpOfUjfB3bGY.IRvp7Cx_bhfx840EDUxb6-hkKR9nSnEFBIZu-DuYJiQ&dib_tag=se&keywords=MOUSE&qid=1752353067&sprefix=mouse%2Caps%2C235&sr=8-12&ufe=app_do%3Aamzn1.fos.49b7614e-5143-45fb-a744-3794f8756ced&th=1&linkCode=ll1&tag=kayosaffili06-20&linkId=501691c359eeca2fa9af92c6e5ba1bd3&language=pt_BR&ref_=as_li_ss_tl,OK,Amazon.com.br,NÃO
